epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3784,1.13333,3.59038,1.0744,0.05962,0.50138,0.14097,0.09268,1.25854,82.8585,1.17072,0.0943,0.0003,0.0003
2,14.3455,0.97452,2.25772,1.02734,0.15194,0.58337,0.25286,0.1802,1.10995,93.3388,1.12488,0.08765,0.000649998,0.000649998
3,17.8644,0.97189,1.89845,1.02587,0.28447,0.5321,0.40307,0.28667,1.06699,17.882,1.09915,0.081,0.00099999,0.00099999
4,21.0789,0.92312,1.59486,0.9937,0.39072,0.57522,0.42895,0.28824,1.1689,15.1415,1.22903,0.07435,0.00134997,0.00134997
5,24.2826,0.95723,1.48426,1.0304,0.19839,0.40186,0.12615,0.07562,1.60075,53.7833,1.72206,0.0676999,0.00169993,0.00169993
6,27.2887,0.97406,1.4097,1.04883,0.04791,0.30716,0.02874,0.01634,2.16247,249.767,4.09321,0.0610499,0.00204987,0.00204987
7,30.2576,0.95653,1.42221,1.03576,0.1186,0.08644,0.02134,0.01173,2.67563,39.1382,23.0627,0.0543998,0.00239979,0.00239979
8,33.2538,0.9572,1.2758,1.04152,0.34857,0.07772,0.0275,0.0153,2.53804,39.4076,7.5615,0.0477497,0.00274967,0.00274967
9,36.3824,0.87832,1.14435,1.02409,0.32225,0.2087,0.10281,0.07162,1.88109,12.8714,2.2021,0.0410995,0.00309952,0.00309952
10,39.4057,0.95174,1.18959,1.02951,0.37605,0.29618,0.28183,0.19274,1.55652,11.0235,2.04915,0.0344493,0.00344932,0.00344932
11,42.9252,0.98374,1.24697,1.08466,0.43764,0.39446,0.25521,0.15969,1.6907,27.0477,2.31676,0.0277991,0.00379907,0.00379907
12,45.938,0.9382,1.18425,1.02569,0.34903,0.22093,0.15947,0.09997,1.76026,4.78058,1.84761,0.0211488,0.00414877,0.00414877
13,48.5725,0.89214,1.07863,1.01184,0.61898,0.25318,0.2954,0.18545,1.38951,4.37215,1.60495,0.0144984,0.00449842,0.00449842
14,51.1761,0.91492,1.11508,1.01475,0.47783,0.38063,0.34999,0.23537,1.25567,6.40818,1.51175,0.007848,0.004848,0.004848
15,53.7699,0.92053,1.11741,1.03637,0.54166,0.24474,0.23259,0.1678,1.57948,8.50357,1.66079,0.00499761,0.00499761,0.00499761
16,56.3551,0.8485,1.0293,0.99838,0.31908,0.21823,0.09826,0.06968,2.04878,13.2924,2.21634,0.00499725,0.00499725,0.00499725
17,58.9349,0.87534,0.99649,0.9956,0.4792,0.21439,0.20936,0.13455,1.69556,5.75292,1.82355,0.00499687,0.00499687,0.00499687
18,61.4983,0.83106,0.95802,0.99066,0.66152,0.24209,0.32427,0.22983,1.32968,3.29344,1.42476,0.00499647,0.00499647,0.00499647
19,64.0982,0.86675,1.06998,1.00081,0.64066,0.48569,0.55471,0.40566,1.10952,2.78456,1.31134,0.00499604,0.00499604,0.00499604
20,66.8329,0.83565,1.028,0.99599,0.56558,0.58684,0.63522,0.45922,0.96945,5.66911,1.25188,0.00499559,0.00499559,0.00499559
21,69.5575,0.86182,0.98046,1.02349,0.64193,0.44964,0.53745,0.36984,1.06301,8.45958,1.37594,0.00499512,0.00499512,0.00499512
22,72.1347,0.78831,0.90742,0.96505,0.88754,0.40709,0.69071,0.51524,0.98193,4.4281,1.17582,0.00499462,0.00499462,0.00499462
23,74.8408,0.79509,0.92178,0.99661,0.76354,0.58983,0.73585,0.54377,0.97949,6.05404,1.17335,0.00499409,0.00499409,0.00499409
24,77.5529,0.76195,0.81474,0.96697,0.69195,0.62254,0.68249,0.52022,0.92946,3.74515,1.10219,0.00499354,0.00499354,0.00499354
25,80.1624,0.80237,0.88752,0.9642,0.62109,0.63647,0.64458,0.48172,0.93198,3.59998,1.08645,0.00499297,0.00499297,0.00499297
26,82.995,0.77826,0.82982,0.95129,0.7875,0.59633,0.7016,0.51926,0.93624,3.15107,1.07963,0.00499237,0.00499237,0.00499237
