epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0071,2.61507,3.2333,2.59685,0,0,0,0,3.23799,4.69623,2.76071,0.0812923,0.000984615,0.000984615
2,36.802,1.51476,2.15995,1.61733,0.01487,0.06135,0.01874,0.00274,3.38567,5.0143,2.71043,0.0622923,0.00198461,0.00198461
3,52.2537,1.15584,1.71586,1.32995,0.03706,0.05951,0.01715,0.00348,3.30957,5.5111,2.93081,0.0432923,0.00298459,0.00298459
4,66.7732,0.97281,1.47742,1.21962,0.62953,0.20405,0.26459,0.11045,2.36043,3.13212,1.97089,0.0242922,0.00398453,0.00398453
5,81.332,0.87539,1.30153,1.14746,0.44485,0.6133,0.54602,0.30193,1.6191,2.29577,1.61601,0.00529211,0.00498442,0.00498442
6,104.999,0.78808,1.2279,1.10268,0.33622,0.53937,0.49367,0.23681,1.82054,2.10238,1.61058,0.00499969,0.00499969,0.00499969
7,160.484,0.75759,1.13872,1.06475,0.5498,0.53606,0.56955,0.32009,1.46089,1.75645,1.43744,0.00499956,0.00499956,0.00499956
8,203.818,0.71381,1.1097,1.0516,0.64492,0.57224,0.69877,0.40134,1.64057,1.56746,1.46078,0.0049994,0.0049994,0.0049994
9,217.342,0.62765,1.04149,1.01554,0.54569,0.45146,0.50134,0.17267,2.31205,2.26348,1.90122,0.00499922,0.00499922,0.00499922
10,230.716,0.60292,1.00122,1.00046,0.46882,0.55901,0.55742,0.26663,1.86415,1.9126,1.63802,0.00499901,0.00499901,0.00499901
11,244.14,0.59622,0.96105,0.99951,0.67014,0.42557,0.58842,0.36915,1.2504,1.64765,1.34093,0.00499878,0.00499878,0.00499878
12,257.467,0.56613,0.92433,0.97426,0.64618,0.54498,0.64777,0.39921,1.39139,1.49524,1.3435,0.00499852,0.00499852,0.00499852
13,270.804,0.52967,0.8783,0.9646,0.6513,0.65988,0.70115,0.4517,1.24022,1.35805,1.31815,0.00499824,0.00499824,0.00499824
14,284.238,0.51746,0.86112,0.95929,0.66562,0.67946,0.73511,0.46114,1.4296,1.26774,1.32786,0.00499794,0.00499794,0.00499794
15,297.778,0.50032,0.85774,0.95357,0.68551,0.7204,0.74666,0.48728,1.21768,1.29328,1.29524,0.00499761,0.00499761,0.00499761
