epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.072,0.48862,1.37718,0.91421,0.0235,0.03174,0.00929,0.00199,4.05524,4.26418,3.70653,0.0810304,0.0009984,0.0009984
2,255.182,0.37377,0.9605,0.86663,0.00427,0.07482,0.00399,0.00092,4.49421,4.12366,5.19425,0.0620304,0.0019984,0.0019984
3,382.225,0.3524,0.86166,0.85961,0.03941,0.04554,0.02299,0.004,4.4121,3.31726,4.24689,0.0430304,0.00299837,0.00299837
4,511.925,0.32933,0.77159,0.85182,0.0497,0.09508,0.03125,0.00691,3.84901,4.21466,4.3331,0.0240303,0.00399831,0.00399831
5,640.461,0.31532,0.70679,0.84776,0.00408,0.03968,0.00267,0.00028,4.55498,4.66788,5.38461,0.0050302,0.0049982,0.0049982
6,770.521,0.30666,0.67496,0.84676,0.01624,0.11786,0.01421,0.00356,3.65725,5.12824,4.01787,0.00499969,0.00499969,0.00499969
7,898.388,0.28864,0.63836,0.84291,0.05935,0.08156,0.03753,0.00972,3.99393,3.4509,4.33155,0.00499956,0.00499956,0.00499956
8,1030.22,0.28287,0.60388,0.84079,0.04572,0.22342,0.05077,0.0121,3.72071,4.2173,3.93449,0.0049994,0.0049994,0.0049994
9,1169.82,0.27855,0.59005,0.83755,0.13645,0.0377,0.01903,0.0027,4.53265,3.5882,5.95308,0.00499922,0.00499922,0.00499922
10,1298.08,0.27046,0.56543,0.83703,0.00117,0.02034,0.00063,6e-05,4.37007,8.07737,5.75019,0.00499901,0.00499901,0.00499901
11,1425.99,0.27175,0.56585,0.83712,0.41148,0.01082,0.00162,0.00036,4.65051,4.68077,5.58043,0.00499878,0.00499878,0.00499878
12,1552.81,0.26654,0.55142,0.83619,0.11226,0.00981,0.00618,0.00141,4.06335,7.03409,5.14709,0.00499852,0.00499852,0.00499852
13,1679.91,0.26462,0.54357,0.83621,0.01531,0.08432,0.01058,0.00252,4.47756,6.64291,5.86783,0.00499824,0.00499824,0.00499824
14,1806.85,0.26123,0.52613,0.835,0.03432,0.01724,0.00917,0.00153,4.94393,4.03896,6.22101,0.00499794,0.00499794,0.00499794
15,1933.58,0.25836,0.52565,0.83427,0.25474,0.01082,0.00713,0.00109,4.73658,5.51375,6.49716,0.00499761,0.00499761,0.00499761
16,2060.54,0.2601,0.52306,0.83546,0.00651,0.01991,0.0043,0.00086,4.34506,5.80344,5.70214,0.00499725,0.00499725,0.00499725
17,2187.44,0.25926,0.52378,0.8349,0.01566,0.05194,0.01098,0.00382,4.44544,4.62386,5.51499,0.00499687,0.00499687,0.00499687
18,2314.23,0.2575,0.51031,0.83473,0.00955,0.03459,0.00736,0.00149,4.06353,6.98071,5.00105,0.00499647,0.00499647,0.00499647
19,2440.83,0.25269,0.50209,0.83251,0.13119,0.01082,0.00733,0.0015,4.61641,4.14155,5.71537,0.00499604,0.00499604,0.00499604
20,2567.6,0.25265,0.49956,0.83188,0.01657,0.0786,0.0128,0.0031,4.40469,5.10952,5.75477,0.00499559,0.00499559,0.00499559
21,2694.16,0.25263,0.48938,0.83204,0.04667,0.02262,0.01122,0.00221,4.45544,3.78244,5.79277,0.00499512,0.00499512,0.00499512
22,2820.91,0.25519,0.4988,0.83242,0.76683,0.00556,0.00738,0.00291,4.53147,7.25536,5.99126,0.00499462,0.00499462,0.00499462
23,2947.56,0.25203,0.49242,0.83377,0.02971,0.11185,0.0339,0.0057,4.19093,4.23721,5.04175,0.00499409,0.00499409,0.00499409
24,3074.1,0.24643,0.48729,0.83177,0.00377,0.01082,0.00165,0.00037,4.66892,4.8769,5.44128,0.00499354,0.00499354,0.00499354
25,3200.38,0.24684,0.47887,0.83196,0.00338,0.02179,0.00222,0.00045,4.76779,5.1172,6.10735,0.00499297,0.00499297,0.00499297
26,3326.86,0.25127,0.48489,0.832,0.36171,0.01082,0.00904,0.00364,4.30184,4.91628,5.1951,0.00499237,0.00499237,0.00499237
27,3453.62,0.24626,0.47987,0.83097,0.12145,0.01111,0.00657,0.00161,4.56234,3.89705,5.80619,0.00499175,0.00499175,0.00499175
28,3580.1,0.24876,0.47914,0.83096,0.01744,0.07049,0.01454,0.00309,4.50113,4.30708,5.40579,0.0049911,0.0049911,0.0049911
29,3706.6,0.24398,0.47103,0.83045,0.01013,0.02927,0.00571,0.00168,4.71021,7.08593,6.38991,0.00499043,0.00499043,0.00499043
30,3833.04,0.24592,0.46795,0.83121,0.00877,0.03532,0.0068,0.00093,4.62039,4.33979,6.38405,0.00498974,0.00498974,0.00498974
31,3959.66,0.24438,0.4675,0.83136,0.05802,0.02352,0.01168,0.00284,4.49904,4.21092,5.83211,0.00498902,0.00498902,0.00498902
32,4086.42,0.24371,0.46458,0.83082,0.15376,0.02749,0.02313,0.00381,4.55407,4.29221,5.79193,0.00498827,0.00498827,0.00498827
33,4214.17,0.24388,0.46382,0.83017,0.11365,0.01439,0.00291,0.00044,4.84003,4.48794,6.57074,0.0049875,0.0049875,0.0049875
34,4344.3,0.24176,0.4596,0.83047,0.03356,0.02478,0.01324,0.00169,4.77322,4.53873,6.42625,0.00498671,0.00498671,0.00498671
35,4472.28,0.24373,0.46435,0.83025,0.05633,0.02608,0.02088,0.00276,4.523,4.93773,5.77979,0.00498589,0.00498589,0.00498589
36,4599.27,0.24157,0.45965,0.83194,0.12408,0.00556,0.00409,0.00085,4.65958,4.98479,6.61565,0.00498505,0.00498505,0.00498505
37,4726.28,0.23877,0.45338,0.83056,0.02742,0.01424,0.00759,0.00076,4.55961,4.52674,5.90549,0.00498419,0.00498419,0.00498419
38,4853.1,0.23771,0.45602,0.8301,0.22299,0.01111,0.00464,0.0007,4.80553,4.42369,6.6446,0.0049833,0.0049833,0.0049833
39,4979.92,0.23828,0.45432,0.8299,0.00992,0.02222,0.0081,0.00098,4.61161,4.60324,6.04992,0.00498238,0.00498238,0.00498238
40,5108.02,0.23705,0.45241,0.82992,0.01364,0.03286,0.01077,0.00108,4.91383,4.29011,6.86578,0.00498145,0.00498145,0.00498145
41,5235.89,0.2404,0.45665,0.83033,0.23728,0.02193,0.01086,0.00228,4.68751,4.44277,6.20239,0.00498048,0.00498048,0.00498048
42,5363.03,0.23688,0.44225,0.82818,0.02552,0.02024,0.01226,0.00274,4.67908,4.28816,5.97735,0.0049795,0.0049795,0.0049795
43,5491.22,0.23728,0.44121,0.82869,0.35542,0.02193,0.01081,0.00213,4.67883,4.74383,6.26178,0.00497849,0.00497849,0.00497849
44,5618.61,0.23877,0.445,0.82949,0.41897,0.00556,0.00246,0.00025,4.82366,4.40306,6.0051,0.00497745,0.00497745,0.00497745
45,5745.62,0.23496,0.44309,0.82934,0.01624,0.00913,0.00478,0.0008,4.85466,4.81848,6.31634,0.00497639,0.00497639,0.00497639
46,5873.83,0.23433,0.43421,0.82869,0.23903,0.01111,0.00945,0.00172,4.78836,5.05753,6.106,0.00497531,0.00497531,0.00497531
47,6000.53,0.23771,0.44506,0.82952,0.22811,0.01111,0.00669,0.00179,4.74488,4.67667,6.17374,0.0049742,0.0049742,0.0049742
48,6127.56,0.23605,0.43678,0.82914,0.11578,0.01111,0.00537,0.00107,4.78928,4.79646,6.37349,0.00497307,0.00497307,0.00497307
49,6254.54,0.23372,0.43965,0.82885,0.12295,0.01667,0.00804,0.00162,4.7626,4.4536,6.27669,0.00497191,0.00497191,0.00497191
50,6382.23,0.2358,0.44466,0.82841,0.01777,0.00556,0.00365,0.00076,4.91762,4.48984,6.65492,0.00497073,0.00497073,0.00497073
51,6509.31,0.23535,0.43738,0.82741,0.02353,0.01468,0.0131,0.0019,4.69693,4.61935,5.98386,0.00496953,0.00496953,0.00496953
52,6636.36,0.23409,0.43904,0.82997,0.22753,0.01111,0.01018,0.00183,4.64936,4.85307,5.87613,0.0049683,0.0049683,0.0049683
53,6763.37,0.23453,0.4364,0.82807,0.22463,0.01111,0.00774,0.00119,4.72797,5.06618,6.03454,0.00496705,0.00496705,0.00496705
54,6892.49,0.2315,0.42493,0.82957,0.00832,0.01111,0.00281,0.00028,4.76598,5.06553,6.21261,0.00496577,0.00496577,0.00496577
55,7032.98,0.23311,0.43374,0.82748,0.048,0.01181,0.01058,0.0016,4.75132,5.33702,6.30426,0.00496447,0.00496447,0.00496447
56,7174.14,0.23542,0.43691,0.82945,0.02717,0.01111,0.0103,0.00115,4.77454,5.17008,6.26122,0.00496315,0.00496315,0.00496315
57,7316.93,0.23494,0.43055,0.82854,0.01999,0.01667,0.00802,0.0008,4.74045,5.02396,6.23243,0.0049618,0.0049618,0.0049618
58,7445.65,0.23277,0.43401,0.82929,0.00871,0.02191,0.00678,0.00133,4.68328,4.76341,6.23785,0.00496042,0.00496042,0.00496042
