epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.964,0.44057,1.17845,0.88036,0.02933,0.04439,0.01529,0.00295,3.94201,3.69624,3.58276,0.0810304,0.0009984,0.0009984
2,294.091,0.3422,0.82103,0.84805,0.06892,0.14716,0.04933,0.01051,3.83146,3.55488,3.59576,0.0620304,0.0019984,0.0019984
3,422.475,0.32271,0.75981,0.84396,0.16801,0.16721,0.11744,0.02071,3.95542,2.78318,3.41423,0.0430304,0.00299837,0.00299837
4,547.343,0.29744,0.67668,0.83611,0.03705,0.0773,0.01666,0.0032,3.40174,4.54539,3.92932,0.0240303,0.00399831,0.00399831
5,671.966,0.28781,0.63078,0.83312,0.31311,0.15513,0.10422,0.02016,3.60539,3.54616,4.17398,0.0050302,0.0049982,0.0049982
6,795.477,0.27659,0.60474,0.83256,0.07617,0.08914,0.03434,0.00579,4.10308,3.01419,4.05606,0.00499969,0.00499969,0.00499969
7,919.891,0.2667,0.58885,0.83125,0.06875,0.06465,0.026,0.00525,4.52419,2.892,4.3265,0.00499956,0.00499956,0.00499956
8,1043.83,0.26149,0.56321,0.82898,0.01614,0.01907,0.00649,0.00087,4.57096,2.843,5.13409,0.0049994,0.0049994,0.0049994
9,1168.94,0.2549,0.54243,0.82626,0.03707,0.06062,0.01558,0.00331,4.52071,2.92459,4.53031,0.00499922,0.00499922,0.00499922
10,1293.42,0.24607,0.52101,0.82569,0.24951,0.251,0.1625,0.03115,3.66208,2.56032,3.78325,0.00499901,0.00499901,0.00499901
11,1418.09,0.24535,0.52518,0.82503,0.23576,0.25468,0.15752,0.02729,3.61795,2.87844,3.49388,0.00499878,0.00499878,0.00499878
12,1545.03,0.24516,0.51823,0.82632,0.15078,0.16057,0.09047,0.01767,3.71104,3.20896,3.89872,0.00499852,0.00499852,0.00499852
13,1669.26,0.24107,0.51006,0.82588,0.14176,0.09277,0.07039,0.01225,3.49132,3.59448,3.95763,0.00499824,0.00499824,0.00499824
14,1793.77,0.23793,0.50206,0.82464,0.09847,0.17906,0.04187,0.00715,3.46621,4.83973,3.81021,0.00499794,0.00499794,0.00499794
15,1918.23,0.23706,0.49429,0.82459,0.27558,0.26113,0.16635,0.02551,3.75761,3.04908,3.64365,0.00499761,0.00499761,0.00499761
16,2042.52,0.23842,0.49837,0.82545,0.1162,0.13652,0.07991,0.01496,4.13387,2.80013,3.99442,0.00499725,0.00499725,0.00499725
17,2166.8,0.23508,0.49019,0.8247,0.03362,0.04765,0.01941,0.00403,4.5674,3.04834,5.64722,0.00499687,0.00499687,0.00499687
18,2291.03,0.23587,0.48609,0.82524,0.25707,0.1513,0.12389,0.02149,3.38155,3.04768,3.32229,0.00499647,0.00499647,0.00499647
19,2415.55,0.23442,0.48116,0.82396,0.0898,0.10273,0.03733,0.00567,4.18939,3.41864,4.77125,0.00499604,0.00499604,0.00499604
20,2540.04,0.23383,0.47489,0.82264,0.28121,0.35899,0.2101,0.03563,3.58618,2.48549,3.19864,0.00499559,0.00499559,0.00499559
21,2664.81,0.23195,0.4809,0.82337,0.10138,0.14187,0.06939,0.01122,4.18433,2.69202,4.30554,0.00499512,0.00499512,0.00499512
22,2789.59,0.23393,0.47387,0.82318,0.15199,0.11204,0.0633,0.01134,4.1541,2.19807,4.22808,0.00499462,0.00499462,0.00499462
23,2914.15,0.23034,0.46529,0.82406,0.21177,0.26605,0.16603,0.03018,3.80267,2.29307,3.77857,0.00499409,0.00499409,0.00499409
24,3038.91,0.23029,0.4722,0.82341,0.21984,0.20925,0.12235,0.02164,3.80013,2.47486,3.7046,0.00499354,0.00499354,0.00499354
25,3163.9,0.22647,0.46534,0.82296,0.10049,0.07832,0.04034,0.00708,4.18439,3.25477,4.82518,0.00499297,0.00499297,0.00499297
26,3288.56,0.22833,0.46026,0.82222,0.07504,0.08755,0.03054,0.00509,3.99288,4.64953,4.49586,0.00499237,0.00499237,0.00499237
27,3413.88,0.22762,0.46396,0.82245,0.24742,0.27525,0.16219,0.02613,3.84912,2.33019,3.7657,0.00499175,0.00499175,0.00499175
28,3538.43,0.23008,0.46151,0.82278,0.38544,0.36591,0.29245,0.04399,3.6039,2.24597,3.39997,0.0049911,0.0049911,0.0049911
29,3663.1,0.22762,0.45752,0.82246,0.18198,0.11901,0.09043,0.01475,4.14579,2.57382,4.55148,0.00499043,0.00499043,0.00499043
30,3787.51,0.22826,0.46142,0.82268,0.1945,0.17057,0.11732,0.01887,4.02544,2.41989,4.36185,0.00498974,0.00498974,0.00498974
31,3912.05,0.22663,0.45673,0.82277,0.20307,0.15942,0.10436,0.0159,4.07625,2.52651,4.52689,0.00498902,0.00498902,0.00498902
32,4036.77,0.22409,0.44901,0.82199,0.08529,0.08542,0.03642,0.00557,4.31159,2.62807,5.08949,0.00498827,0.00498827,0.00498827
