epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.473,1.2697,1.98691,1.42852,0.22816,0.18577,0.17656,0.0656,2.31401,3.27125,1.93105,0.0810304,0.0009984,0.0009984
2,275.424,0.57689,1.17319,0.97483,0.07139,0.48381,0.15347,0.04715,2.7732,4.28836,2.22373,0.0620304,0.0019984,0.0019984
3,405.757,0.48962,1.01247,0.94055,0.12029,0.34909,0.15563,0.07867,1.91592,4.9066,1.77093,0.0430304,0.00299837,0.00299837
4,530.016,0.44,0.88828,0.91756,0.03591,0.03671,0.0098,0.00211,4.35158,5.5211,4.84225,0.0240303,0.00399831,0.00399831
5,653.412,0.41139,0.80776,0.9046,0.08485,0.03684,0.02235,0.00582,4.20876,3.79129,4.12549,0.0050302,0.0049982,0.0049982
6,776.976,0.39004,0.7648,0.89953,0.29459,0.22905,0.23675,0.10757,2.10094,3.84713,1.88294,0.00499969,0.00499969,0.00499969
7,900.943,0.37411,0.72818,0.8938,0.38479,0.06116,0.06526,0.01393,3.74751,4.80418,3.51063,0.00499956,0.00499956,0.00499956
8,1025.12,0.36227,0.68639,0.8896,0.07423,0.05819,0.04342,0.00791,4.17467,3.26939,4.83093,0.0049994,0.0049994,0.0049994
9,1149.68,0.35313,0.66141,0.88367,0.26589,0.06271,0.0466,0.00684,4.20544,3.63512,4.86795,0.00499922,0.00499922,0.00499922
10,1274.3,0.34376,0.64315,0.88314,0.12452,0.11372,0.08507,0.01421,3.60764,4.45403,3.32085,0.00499901,0.00499901,0.00499901
11,1399.15,0.33888,0.63471,0.88035,0.27834,0.02648,0.03239,0.0066,3.67284,5.46233,3.34523,0.00499878,0.00499878,0.00499878
12,1524.14,0.33275,0.6156,0.88116,0.03157,0.1115,0.03039,0.00604,4.16572,4.57809,4.1889,0.00499852,0.00499852,0.00499852
13,1649.14,0.33139,0.61684,0.88064,0.35789,0.14121,0.19589,0.04855,2.84471,4.74474,2.4689,0.00499824,0.00499824,0.00499824
14,1781.5,0.32188,0.5951,0.87671,0.10218,0.07926,0.05511,0.01011,3.89578,3.53305,4.28817,0.00499794,0.00499794,0.00499794
15,1905.94,0.3197,0.59098,0.87731,0.07702,0.09587,0.04872,0.00827,3.97323,3.69265,4.3542,0.00499761,0.00499761,0.00499761
16,2031.42,0.31886,0.58517,0.87761,0.04451,0.03344,0.03109,0.00912,4.37961,4.44758,4.51917,0.00499725,0.00499725,0.00499725
17,2157.02,0.31735,0.57829,0.87787,0.05117,0.01637,0.01287,0.00309,4.75564,4.95056,6.15254,0.00499687,0.00499687,0.00499687
18,2282.68,0.31376,0.5632,0.87638,0.0233,0.01082,0.0084,0.00245,4.90847,5.70086,6.23686,0.00499647,0.00499647,0.00499647
19,2408.42,0.31101,0.56462,0.87738,0.24572,0.01995,0.00967,0.00215,4.43831,5.14577,5.56565,0.00499604,0.00499604,0.00499604
20,2534.26,0.30411,0.54928,0.87325,0.54614,0.00556,0.007,0.0021,5.18662,5.16276,7.47661,0.00499559,0.00499559,0.00499559
