epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,71.7225,0.92011,1.16757,1.06172,0,0,0,0,3.88698,43319.4,884.961,0.0173304,0.00433038,0.00433038
45,73.1282,0.83778,1.03128,1.01723,0,0,0,0,3.88698,43319.4,884.961,0.015429,0.00442899,0.00442899
46,74.7629,0.90512,1.12024,1.05451,0.00233,0.01333,0.00149,0.00028,3.7645,19375.8,261.84,0.0135275,0.00452753,0.00452753
47,76.1745,0.85825,0.98219,1.04223,0.00233,0.01333,0.00149,0.00028,3.7645,19375.8,261.84,0.011626,0.00462601,0.00462601
48,77.6012,0.91243,1.02203,1.08195,0.00086,0.01333,0.00055,8e-05,3.89184,11029.3,52.3159,0.00972442,0.00472442,0.00472442
49,79.0277,0.91172,1.10632,1.01339,0.00086,0.01333,0.00055,8e-05,3.89184,11029.3,52.3159,0.00782276,0.00482276,0.00482276
50,80.5396,0.8606,1.08127,1.01917,0,0,0,0,4.36303,14929.8,35.6044,0.00592103,0.00492103,0.00492103
51,82.016,0.95158,1.11027,1.07674,0,0,0,0,4.36303,14929.8,35.6044,0.00496953,0.00496953,0.00496953
52,83.551,0.99464,1.01919,1.11346,4e-05,0.00667,3e-05,0,4.73015,30369.2,56.4057,0.0049683,0.0049683,0.0049683
53,85.067,1.11862,1.05876,1.11682,4e-05,0.00667,3e-05,0,4.73015,30369.2,56.4057,0.00496705,0.00496705,0.00496705
54,86.694,1.04316,1.10105,1.09488,3e-05,0.00667,2e-05,1e-05,5.25342,31052.8,88.8463,0.00496577,0.00496577,0.00496577
55,88.2635,0.8702,1.03495,1.04356,3e-05,0.00667,2e-05,1e-05,5.25342,31052.8,88.8463,0.00496447,0.00496447,0.00496447
56,89.8658,0.82276,0.93573,0.95176,3e-05,0.01333,3e-05,1e-05,5.10083,16903.5,63.937,0.00496315,0.00496315,0.00496315
57,91.4025,0.89039,0.92151,1.00922,3e-05,0.01333,3e-05,1e-05,5.10083,16903.5,63.937,0.0049618,0.0049618,0.0049618
58,92.9638,0.97718,0.90761,1.03542,2e-05,0.00667,1e-05,1e-05,4.95993,15395.6,44.2847,0.00496042,0.00496042,0.00496042
59,94.5158,0.88693,1.0081,1.10217,2e-05,0.00667,1e-05,1e-05,4.95993,15395.6,44.2847,0.00495903,0.00495903,0.00495903
60,96.1085,0.89201,0.92797,1.02616,0.0001,0.01333,4e-05,1e-05,4.00075,4307.4,11.89,0.00495761,0.00495761,0.00495761
