epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.359,1.22458,1.93149,1.41772,0.31529,0.20212,0.17977,0.0749,2.75408,3.09075,2.00005,0.0810304,0.0009984,0.0009984
2,252.069,0.54498,1.06243,0.96549,0.25416,0.13919,0.10719,0.04699,2.91585,3.90796,2.25054,0.0620304,0.0019984,0.0019984
3,376.149,0.45478,0.90477,0.92564,0.4035,0.15806,0.15797,0.06415,3.06538,3.67523,2.33327,0.0430304,0.00299837,0.00299837
4,499.82,0.41303,0.81609,0.9056,0.46857,0.06089,0.06584,0.02619,3.10895,4.30828,2.43529,0.0240303,0.00399831,0.00399831
5,623.51,0.38013,0.7427,0.89387,0.48198,0.08168,0.04993,0.0167,3.59952,4.17184,2.80984,0.0050302,0.0049982,0.0049982
6,746.782,0.35854,0.70394,0.88735,0.66934,0.08364,0.06145,0.02222,3.66838,4.93474,2.99609,0.00499969,0.00499969,0.00499969
7,870.214,0.34306,0.66117,0.88252,0.6957,0.05387,0.05219,0.02127,3.17112,4.38861,2.4172,0.00499956,0.00499956,0.00499956
8,993.457,0.33892,0.64156,0.87999,0.2635,0.09306,0.05566,0.01733,3.81218,4.26546,3.22032,0.0049994,0.0049994,0.0049994
9,1116.74,0.32393,0.61882,0.87284,0.48442,0.11759,0.09869,0.03399,3.40715,3.50343,2.59165,0.00499922,0.00499922,0.00499922
10,1239.96,0.31862,0.60463,0.87109,0.22408,0.12775,0.09368,0.03362,3.36368,4.32716,2.64494,0.00499901,0.00499901,0.00499901
11,1363.13,0.30743,0.59024,0.8683,0.31828,0.11013,0.1071,0.03772,3.31664,4.74647,2.58218,0.00499878,0.00499878,0.00499878
12,1486.46,0.30463,0.57568,0.86679,0.11398,0.07731,0.05653,0.02652,3.14952,5.244,2.85826,0.00499852,0.00499852,0.00499852
13,1609.72,0.30409,0.57754,0.86965,0.0519,0.24456,0.06458,0.02412,3.40138,5.25345,2.81046,0.00499824,0.00499824,0.00499824
14,1733,0.29387,0.56047,0.86545,0.46143,0.13849,0.12345,0.067,2.95543,4.03973,2.50899,0.00499794,0.00499794,0.00499794
15,1856.35,0.29402,0.56343,0.86695,0.4235,0.11099,0.11919,0.05287,3.21295,4.51787,2.72672,0.00499761,0.00499761,0.00499761
16,1979.63,0.28949,0.5476,0.86494,0.0849,0.23094,0.11596,0.04712,3.29026,4.58312,2.64243,0.00499725,0.00499725,0.00499725
17,2102.91,0.29164,0.54754,0.86586,0.27808,0.10829,0.08209,0.03249,3.25482,4.78432,2.65797,0.00499687,0.00499687,0.00499687
18,2226.08,0.27912,0.52777,0.86297,0.43586,0.11255,0.09573,0.04418,3.21353,4.50374,2.76191,0.00499647,0.00499647,0.00499647
19,2349.34,0.28466,0.53746,0.86465,0.36669,0.16102,0.16158,0.08335,2.77929,3.92559,2.33098,0.00499604,0.00499604,0.00499604
20,2472.79,0.28188,0.52632,0.86284,0.3785,0.05832,0.07524,0.03416,3.58468,4.86157,2.91396,0.00499559,0.00499559,0.00499559
21,2596.17,0.27471,0.51047,0.86145,0.09692,0.21038,0.09666,0.03416,3.12527,4.98445,2.50681,0.00499512,0.00499512,0.00499512
22,2719.58,0.27607,0.51318,0.8622,0.45943,0.08317,0.09219,0.03642,3.55896,4.64475,2.94796,0.00499462,0.00499462,0.00499462
23,2842.9,0.27628,0.51546,0.86377,0.47947,0.15614,0.21121,0.09576,2.79033,3.80205,2.35325,0.00499409,0.00499409,0.00499409
24,2966.39,0.26942,0.50797,0.86289,0.39529,0.16683,0.13183,0.06037,3.20421,4.25085,2.71767,0.00499354,0.00499354,0.00499354
25,3089.6,0.26801,0.50382,0.86046,0.46148,0.19405,0.18997,0.08777,2.49346,3.85906,2.16415,0.00499297,0.00499297,0.00499297
26,3213.24,0.26491,0.49332,0.85787,0.579,0.12697,0.16141,0.07365,2.96422,4.65567,2.36221,0.00499237,0.00499237,0.00499237
27,3336.53,0.26614,0.49807,0.85894,0.24419,0.26177,0.24779,0.11221,2.65702,3.36855,2.22364,0.00499175,0.00499175,0.00499175
28,3460.28,0.26877,0.49598,0.85771,0.24595,0.22364,0.20712,0.10641,2.44434,3.69138,2.20583,0.0049911,0.0049911,0.0049911
29,3583.74,0.26263,0.48899,0.85644,0.46917,0.12776,0.13364,0.05898,2.99076,4.27628,2.49062,0.00499043,0.00499043,0.00499043
30,3707.18,0.26147,0.48668,0.85622,0.43545,0.15421,0.129,0.05926,2.95341,3.94626,2.46367,0.00498974,0.00498974,0.00498974
31,3830.41,0.2603,0.49004,0.85643,0.26962,0.22726,0.20832,0.1072,2.62471,3.64271,2.384,0.00498902,0.00498902,0.00498902
32,3953.66,0.25857,0.48152,0.85401,0.35609,0.1792,0.15906,0.07614,2.6047,4.00282,2.26713,0.00498827,0.00498827,0.00498827
33,4077.03,0.25775,0.48356,0.85468,0.49748,0.18896,0.18769,0.08632,2.67896,4.19396,2.33359,0.0049875,0.0049875,0.0049875
34,4200.45,0.25803,0.48576,0.85583,0.37913,0.14074,0.17339,0.08953,2.58285,4.44506,2.42936,0.00498671,0.00498671,0.00498671
35,4323.77,0.2551,0.4773,0.85304,0.42963,0.13368,0.18138,0.09876,2.57078,3.86978,2.25546,0.00498589,0.00498589,0.00498589
36,4447.3,0.26111,0.48685,0.85736,0.2316,0.28405,0.23981,0.11115,2.59284,3.20295,2.33109,0.00498505,0.00498505,0.00498505
37,4570.7,0.25271,0.48164,0.85138,0.32114,0.20703,0.20929,0.09217,2.70494,3.54731,2.39367,0.00498419,0.00498419,0.00498419
38,4694.32,0.24958,0.4771,0.85143,0.48074,0.22562,0.22606,0.11614,2.58946,3.42004,2.29273,0.0049833,0.0049833,0.0049833
39,4818,0.25097,0.47175,0.85099,0.4042,0.18846,0.19547,0.08342,2.75619,4.2677,2.43477,0.00498238,0.00498238,0.00498238
40,4941.6,0.24964,0.47611,0.85061,0.43349,0.21047,0.19466,0.08881,2.80395,3.51013,2.42817,0.00498145,0.00498145,0.00498145
41,5065.14,0.25346,0.47496,0.85348,0.36624,0.29022,0.29007,0.1457,2.43672,3.28086,2.22076,0.00498048,0.00498048,0.00498048
42,5188.81,0.2474,0.46639,0.84883,0.34466,0.20189,0.22108,0.11656,2.4649,3.97026,2.20574,0.0049795,0.0049795,0.0049795
43,5312.26,0.24451,0.45677,0.84799,0.60075,0.14913,0.20402,0.111,2.56474,3.93984,2.24464,0.00497849,0.00497849,0.00497849
44,5435.82,0.24573,0.46378,0.84961,0.32962,0.30056,0.27854,0.131,2.48525,3.24543,2.21202,0.00497745,0.00497745,0.00497745
45,5559.39,0.24413,0.46491,0.84908,0.42213,0.27725,0.28614,0.14922,2.34691,2.98623,2.10833,0.00497639,0.00497639,0.00497639
46,5695.77,0.2404,0.45844,0.84708,0.31272,0.28207,0.25286,0.12863,2.48396,3.17371,2.23953,0.00497531,0.00497531,0.00497531
47,5819.11,0.24713,0.46853,0.84894,0.35376,0.24755,0.25557,0.13222,2.3864,3.73339,2.15451,0.0049742,0.0049742,0.0049742
48,5942.68,0.23888,0.45176,0.84693,0.43133,0.18962,0.22857,0.11402,2.4036,3.78833,2.23443,0.00497307,0.00497307,0.00497307
