epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3161,0.64417,2.01604,0.9575,0.2685,0.13362,0.05376,0.01907,2.96261,11.5392,2.43798,0.0812923,0.000984615,0.000984615
2,30.2422,0.51585,1.2596,0.90239,0.46102,0.52667,0.50862,0.29531,1.56944,5.58311,1.28766,0.0622923,0.00198461,0.00198461
3,43.901,0.50812,1.12969,0.89327,0.52859,0.51731,0.5411,0.31761,1.38567,3.77826,1.22824,0.0432923,0.00298459,0.00298459
4,57.9001,0.47412,1.04533,0.89266,0.61042,0.43303,0.45559,0.26111,1.49212,4.22107,1.21702,0.0242922,0.00398453,0.00398453
5,71.3335,0.46325,0.99176,0.88526,0.45442,0.5098,0.52195,0.19704,2.33519,9.72112,1.76138,0.00529211,0.00498442,0.00498442
6,84.758,0.44872,0.95518,0.88272,0.41397,0.74793,0.63629,0.4365,1.09826,1.72284,1.02262,0.00499969,0.00499969,0.00499969
7,98.3745,0.41811,0.8739,0.87063,0.58325,0.64968,0.62574,0.33313,1.58954,2.09814,1.28994,0.00499956,0.00499956,0.00499956
8,111.838,0.39062,0.86104,0.86506,0.47887,0.65978,0.63277,0.36316,1.57031,1.69738,1.22045,0.0049994,0.0049994,0.0049994
9,125.353,0.38977,0.8357,0.86547,0.48732,0.6192,0.60741,0.40869,1.13706,1.59223,1.13042,0.00499922,0.00499922,0.00499922
10,138.889,0.36685,0.83052,0.8638,0.57744,0.635,0.65337,0.40735,1.26062,1.69121,1.10946,0.00499901,0.00499901,0.00499901
11,152.534,0.37411,0.78552,0.86588,0.63824,0.5255,0.63058,0.45898,1.03806,1.46052,1.00323,0.00499878,0.00499878,0.00499878
12,166.311,0.36535,0.75617,0.8519,0.63529,0.63829,0.66552,0.46234,1.07592,1.40286,1.09386,0.00499852,0.00499852,0.00499852
13,180.045,0.35611,0.73915,0.8509,0.5863,0.62361,0.67063,0.44218,1.18668,1.39355,1.11495,0.00499824,0.00499824,0.00499824
14,193.734,0.34249,0.72247,0.84673,0.55824,0.55404,0.61782,0.43277,1.03199,1.58165,1.06652,0.00499794,0.00499794,0.00499794
15,207.575,0.33578,0.71014,0.84909,0.7356,0.62251,0.75346,0.53148,1.02536,1.32665,1.01399,0.00499761,0.00499761,0.00499761
16,221.641,0.33286,0.67513,0.84638,0.67807,0.68818,0.76624,0.5814,0.86094,1.09367,0.95937,0.00499725,0.00499725,0.00499725
17,235.518,0.32552,0.65039,0.84459,0.66474,0.65562,0.75796,0.52673,1.1146,1.29696,1.07519,0.00499687,0.00499687,0.00499687
18,249.239,0.32284,0.66726,0.84413,0.6296,0.76227,0.76281,0.48683,1.23025,1.31559,1.10214,0.00499647,0.00499647,0.00499647
19,263.106,0.31728,0.66314,0.84329,0.72908,0.79412,0.82215,0.60908,0.87621,0.95606,0.93891,0.00499604,0.00499604,0.00499604
20,276.985,0.3052,0.64182,0.84037,0.6359,0.7548,0.7695,0.50537,1.22485,1.27095,1.0386,0.00499559,0.00499559,0.00499559
21,290.766,0.30368,0.65058,0.84172,0.68317,0.7646,0.79727,0.5901,0.88075,0.99984,0.98113,0.00499512,0.00499512,0.00499512
22,304.488,0.30762,0.63199,0.83931,0.81181,0.64982,0.80486,0.54074,1.08567,1.34109,1.03016,0.00499462,0.00499462,0.00499462
23,318.291,0.31599,0.63809,0.8439,0.61786,0.7006,0.75222,0.50792,1.06552,1.29024,1.11296,0.00499409,0.00499409,0.00499409
24,332.06,0.30859,0.62408,0.83954,0.68381,0.68484,0.78,0.58724,0.90111,1.10257,0.99706,0.00499354,0.00499354,0.00499354
25,345.826,0.3101,0.61717,0.84374,0.41461,0.59386,0.48575,0.20236,2.10041,2.19315,1.64428,0.00499297,0.00499297,0.00499297
26,359.691,0.30332,0.6258,0.8437,0.59557,0.61928,0.65141,0.47361,0.95034,1.4673,1.01417,0.00499237,0.00499237,0.00499237
