epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.89243,4.79221,5.02663,4.66672,0,0,0,0,4.94037,4.85799,3.83643,0.09905,5e-05,5e-05
2,3.31897,4.47983,4.67457,4.05351,0,0,0,0,4.32081,4.68836,3.58181,0.09715,0.00015,0.00015
3,4.82861,3.94565,4.45101,3.67144,0,0,0,0,3.80367,4.55769,3.3817,0.09525,0.000249998,0.000249998
4,6.51813,3.53372,4.27382,3.45466,0,0,0,0,3.46767,4.45551,3.21584,0.09335,0.000349992,0.000349992
5,8.00606,3.5779,4.0478,3.16757,0,0,0,0,3.28939,4.37451,3.0999,0.09145,0.000449982,0.000449982
6,9.46759,3.32536,3.8394,2.83146,0,0,0,0,3.23168,4.30603,3.00419,0.08955,0.000549966,0.000549966
7,11.0269,3.29088,3.68052,2.6883,0,0,0,0,3.24235,4.25975,2.9339,0.0876499,0.000649943,0.000649943
8,12.5239,3.27005,3.66049,2.73305,0,0,0,0,3.23655,4.23695,2.86126,0.0857499,0.00074991,0.00074991
9,14.0663,2.95861,3.31938,2.45282,0,0,0,0,3.22883,4.2299,2.83031,0.0838499,0.000849867,0.000849867
10,15.6004,2.9493,3.34332,2.47018,0,0,0,0,3.22528,4.22562,2.8128,0.0819498,0.000949812,0.000949812
11,17.1955,2.85913,3.19976,2.30973,0,0,0,0,3.22101,4.22144,2.79359,0.0800497,0.00104974,0.00104974
12,18.6497,2.85638,3.08859,2.30776,0,0,0,0,3.21764,4.22054,2.76607,0.0781497,0.00114966,0.00114966
13,20.1527,2.79699,3.10886,2.35263,0,0,0,0,3.21551,4.22315,2.74739,0.0762496,0.00124956,0.00124956
14,21.5716,2.69195,3.02648,2.29148,0,0,0,0,3.21608,4.23096,2.73025,0.0743494,0.00134944,0.00134944
15,23.0634,2.72984,2.97089,2.17147,0,0,0,0,3.21626,4.24427,2.71152,0.0724493,0.00144931,0.00144931
16,24.5112,2.7557,2.90183,2.28218,0,0,0,0,3.22088,4.26428,2.6972,0.0705491,0.00154915,0.00154915
17,26.0353,2.63507,2.82726,2.1716,0,0,0,0,3.21675,4.28544,2.67281,0.068649,0.00164897,0.00164897
18,27.7027,2.49235,2.72311,2.0632,0,0,0,0,3.23137,4.30788,2.66111,0.0667488,0.00174876,0.00174876
19,29.2034,2.44585,2.80722,2.19709,0,0,0,0,3.22453,4.32957,2.6405,0.0648485,0.00184854,0.00184854
20,30.7207,2.54089,2.75744,2.03518,0,0,0,0,3.25632,4.35381,2.6667,0.0629483,0.00194828,0.00194828
21,32.1979,2.55129,2.72984,2.22865,0,0,0,0,3.25647,4.37062,2.66904,0.061048,0.002048,0.002048
22,33.7488,2.39216,2.57661,1.9917,0,0,0,0,3.34904,4.39712,2.78063,0.0591477,0.00214768,0.00214768
23,35.2927,2.29519,2.5581,2.00924,0,0,0,0,3.40256,4.43061,2.83416,0.0572473,0.00224734,0.00224734
24,36.7926,2.18982,2.5387,1.89328,0,0,0,0,3.30989,4.4586,2.74934,0.055347,0.00234696,0.00234696
25,38.3046,2.15324,2.41337,1.94407,0,0,0,0,3.30609,4.48809,2.73498,0.0534466,0.00244655,0.00244655
26,39.8409,2.25492,2.44136,1.88503,0,0,0,0,3.37082,4.51606,2.79471,0.0515461,0.00254611,0.00254611
27,41.3033,2.21089,2.47578,1.92231,0,0,0,0,3.36907,4.49339,2.81939,0.0496456,0.00264563,0.00264563
28,42.7516,2.01413,2.4167,1.78494,0,0,0,0,3.36907,4.49339,2.81939,0.0477451,0.00274511,0.00274511
29,44.2179,2.03618,2.33618,1.82996,0,0,0,0,3.38845,4.45862,2.85544,0.0458445,0.00284455,0.00284455
30,45.7376,1.96425,2.32298,1.72629,0,0,0,0,3.62749,4.45545,3.18838,0.0439439,0.00294394,0.00294394
31,47.1711,2.01908,2.23953,1.7123,0,0,0,0,3.62749,4.45545,3.18838,0.0420433,0.0030433,0.0030433
32,48.7986,2.02381,2.31168,1.73997,0,0,0,0,3.622,4.41982,3.23881,0.0401426,0.00314261,0.00314261
33,50.2747,2.04707,2.32765,1.76191,0,0,0,0,3.55448,4.35027,3.17526,0.0382419,0.00324188,0.00324188
34,51.7811,2.01127,2.26578,1.79797,0,0,0,0,3.55448,4.35027,3.17526,0.0363411,0.0033411,0.0033411
35,53.2452,1.85367,2.17435,1.67169,0,0,0,0,3.85451,4.51128,3.49977,0.0344403,0.00344027,0.00344027
36,54.825,2.05469,2.24003,1.87155,0,0,0,0,3.99843,4.76346,3.57689,0.0325394,0.00353939,0.00353939
37,56.3356,1.90003,2.12354,1.6934,0,0,0,0,3.99843,4.76346,3.57689,0.0306385,0.00363846,0.00363846
38,57.8524,1.85457,2.15519,1.84012,0,0,0,0,4.13602,4.84733,3.73103,0.0287375,0.00373747,0.00373747
39,59.3912,1.91166,2.11494,1.68898,0,0,0,0,4.15262,4.83511,3.77769,0.0268364,0.00383644,0.00383644
40,61.0949,1.81801,2.06909,1.724,0,0,0,0,4.15262,4.83511,3.77769,0.0249353,0.00393534,0.00393534
41,62.5703,1.81312,2.25055,1.65696,0,0,0,0,4.1169,4.8556,3.65227,0.0230342,0.00403419,0.00403419
42,64.0624,1.90686,2.02339,1.65941,0,0,0,0,3.90149,4.81861,3.34062,0.021133,0.00413298,0.00413298
43,65.5894,1.8847,2.04825,1.58412,0,0,0,0,3.90149,4.81861,3.34062,0.0192317,0.00423171,0.00423171
44,67.1259,1.80312,2.06405,1.61345,0,0,0,0,3.47387,4.64893,2.93375,0.0173304,0.00433038,0.00433038
45,68.6454,1.80016,2.10341,1.63215,0,0,0,0,3.47387,4.64893,2.93375,0.015429,0.00442899,0.00442899
46,70.1882,1.90759,2.12283,1.67531,0.00676,0.02026,0.01213,0.0017,3.91417,4.4126,3.47249,0.0135275,0.00452753,0.00452753
47,71.89,1.74335,2.04198,1.63857,0.00676,0.02026,0.01213,0.0017,3.91417,4.4126,3.47249,0.011626,0.00462601,0.00462601
48,73.3482,1.84687,2.16008,1.73165,0.01357,0.14609,0.04183,0.00746,4.32597,3.63707,4.74901,0.00972442,0.00472442,0.00472442
49,74.9451,1.95143,2.1103,1.61324,0.01357,0.14609,0.04183,0.00746,4.32597,3.63707,4.74901,0.00782276,0.00482276,0.00482276
50,76.589,1.86723,2.07967,1.61388,0.01817,0.47241,0.13543,0.0282,3.35979,3.05654,2.90401,0.00592103,0.00492103,0.00492103
51,78.1966,1.66166,1.99118,1.54586,0.01817,0.47241,0.13543,0.0282,3.35979,3.05654,2.90401,0.00496953,0.00496953,0.00496953
52,79.7618,1.74953,2.12569,1.66633,0.06582,0.75141,0.1995,0.09634,1.95495,3.35638,1.96554,0.0049683,0.0049683,0.0049683
53,81.3244,1.71752,2.04003,1.57624,0.06582,0.75141,0.1995,0.09634,1.95495,3.35638,1.96554,0.00496705,0.00496705,0.00496705
54,83.1053,1.6845,2.01427,1.5834,0.15574,0.48474,0.24953,0.11468,2.15249,3.73542,2.01895,0.00496577,0.00496577,0.00496577
55,84.5843,1.65679,2.0366,1.57551,0.15574,0.48474,0.24953,0.11468,2.15249,3.73542,2.01895,0.00496447,0.00496447,0.00496447
56,86.147,1.60447,1.77754,1.37203,0.08852,0.29096,0.1358,0.05975,2.92686,3.98116,2.51227,0.00496315,0.00496315,0.00496315
57,87.4768,1.60707,1.84734,1.44054,0.08852,0.29096,0.1358,0.05975,2.92686,3.98116,2.51227,0.0049618,0.0049618,0.0049618
58,88.8968,1.5928,1.90223,1.4831,0.04699,0.17323,0.09197,0.03448,3.71955,4.14649,3.14546,0.00496042,0.00496042,0.00496042
59,90.3039,1.8409,1.98479,1.6934,0.04699,0.17323,0.09197,0.03448,3.71955,4.14649,3.14546,0.00495903,0.00495903,0.00495903
60,91.6474,1.61799,1.85495,1.4871,0.05301,0.31732,0.12945,0.06012,2.7632,3.92104,2.27433,0.00495761,0.00495761,0.00495761
61,93.0073,1.50232,1.92795,1.4785,0.05301,0.31732,0.12945,0.06012,2.7632,3.92104,2.27433,0.00495616,0.00495616,0.00495616
62,94.4989,1.51798,1.87434,1.54304,0.05418,0.81206,0.27775,0.13966,1.86367,3.2296,1.8817,0.00495469,0.00495469,0.00495469
63,96.0547,1.70677,1.89314,1.43026,0.05418,0.81206,0.27775,0.13966,1.86367,3.2296,1.8817,0.0049532,0.0049532,0.0049532
64,97.6134,1.82638,1.89716,1.50903,0.35242,0.1981,0.2597,0.11175,2.10247,2.71292,2.03625,0.00495168,0.00495168,0.00495168
65,99.016,1.59595,1.82191,1.54751,0.35242,0.1981,0.2597,0.11175,2.10247,2.71292,2.03625,0.00495014,0.00495014,0.00495014
66,100.418,1.66356,1.96055,1.53341,0.35023,0.38768,0.36516,0.18124,1.85061,2.39786,1.89311,0.00494858,0.00494858,0.00494858
67,101.911,1.63993,1.81531,1.53111,0.35023,0.38768,0.36516,0.18124,1.85061,2.39786,1.89311,0.00494699,0.00494699,0.00494699
68,103.389,1.5754,1.71865,1.41591,0.30523,0.35314,0.23934,0.0709,2.57569,2.67499,2.50677,0.00494538,0.00494538,0.00494538
69,104.893,1.50719,1.74581,1.47493,0.30523,0.35314,0.23934,0.0709,2.57569,2.67499,2.50677,0.00494374,0.00494374,0.00494374
70,106.314,1.5852,1.78337,1.48315,0.24833,0.12701,0.07388,0.01492,3.52364,2.71015,3.71934,0.00494208,0.00494208,0.00494208
71,107.713,1.42505,1.67093,1.38581,0.24833,0.12701,0.07388,0.01492,3.52364,2.71015,3.71934,0.00494039,0.00494039,0.00494039
72,109.173,1.48013,1.64584,1.34056,0.42575,0.33596,0.35205,0.10384,2.61032,2.35125,2.34782,0.00493869,0.00493869,0.00493869
73,110.54,1.5003,1.75206,1.43603,0.42575,0.33596,0.35205,0.10384,2.61032,2.35125,2.34782,0.00493695,0.00493695,0.00493695
74,111.92,1.52158,1.71602,1.39263,0.57224,0.35156,0.4513,0.27422,1.49938,2.17144,1.58065,0.0049352,0.0049352,0.0049352
75,113.411,1.42148,1.65254,1.44891,0.57224,0.35156,0.4513,0.27422,1.49938,2.17144,1.58065,0.00493342,0.00493342,0.00493342
76,115.013,1.48451,1.73121,1.48417,0.42553,0.44786,0.38958,0.19598,1.82777,2.32747,1.71474,0.00493162,0.00493162,0.00493162
77,116.375,1.59102,1.77175,1.46967,0.42553,0.44786,0.38958,0.19598,1.82777,2.32747,1.71474,0.00492979,0.00492979,0.00492979
78,117.798,1.51782,1.65875,1.38384,0.36819,0.421,0.39596,0.17914,2.08766,2.30922,1.85427,0.00492794,0.00492794,0.00492794
79,119.146,1.53999,1.7443,1.4462,0.36819,0.421,0.39596,0.17914,2.08766,2.30922,1.85427,0.00492606,0.00492606,0.00492606
80,120.523,1.50468,1.76788,1.54367,0.27288,0.31966,0.25932,0.07915,2.99089,2.43289,2.72872,0.00492417,0.00492417,0.00492417
81,121.893,1.3783,1.6761,1.30772,0.27288,0.31966,0.25932,0.07915,2.99089,2.43289,2.72872,0.00492224,0.00492224,0.00492224
82,123.271,1.4052,1.69811,1.40026,0.2941,0.32028,0.24539,0.07086,2.86495,2.54008,2.90427,0.0049203,0.0049203,0.0049203
83,124.798,1.48958,1.68552,1.49895,0.2941,0.32028,0.24539,0.07086,2.86495,2.54008,2.90427,0.00491833,0.00491833,0.00491833
84,126.176,1.3929,1.66702,1.28641,0.2113,0.42767,0.29597,0.11571,2.36307,2.47671,2.37626,0.00491634,0.00491634,0.00491634
85,127.574,1.31819,1.62308,1.29007,0.2113,0.42767,0.29597,0.11571,2.36307,2.47671,2.37626,0.00491432,0.00491432,0.00491432
86,128.959,1.28706,1.59877,1.29674,0.39175,0.57844,0.49178,0.23975,1.90212,2.16497,1.81183,0.00491228,0.00491228,0.00491228
87,130.362,1.34811,1.55441,1.29632,0.39175,0.57844,0.49178,0.23975,1.90212,2.16497,1.81183,0.00491022,0.00491022,0.00491022
88,131.744,1.42056,1.59516,1.32247,0.44486,0.61398,0.52943,0.29429,1.67291,1.97568,1.58857,0.00490813,0.00490813,0.00490813
89,133.234,1.39881,1.55355,1.33417,0.44486,0.61398,0.52943,0.29429,1.67291,1.97568,1.58857,0.00490602,0.00490602,0.00490602
90,134.736,1.5073,1.74218,1.46478,0.47379,0.61415,0.5907,0.33147,1.58682,1.80567,1.53569,0.00490388,0.00490388,0.00490388
91,136.442,1.33539,1.42077,1.25551,0.47379,0.61415,0.5907,0.33147,1.58682,1.80567,1.53569,0.00490173,0.00490173,0.00490173
92,138.046,1.51323,1.57436,1.38443,0.72722,0.47152,0.63964,0.40957,1.37534,1.63448,1.44274,0.00489955,0.00489955,0.00489955
93,139.61,1.3612,1.63204,1.31132,0.72722,0.47152,0.63964,0.40957,1.37534,1.63448,1.44274,0.00489734,0.00489734,0.00489734
94,141.189,1.42861,1.55525,1.36606,0.64361,0.46566,0.62766,0.41893,1.29182,1.63829,1.40093,0.00489511,0.00489511,0.00489511
95,142.778,1.39422,1.63004,1.36336,0.64361,0.46566,0.62766,0.41893,1.29182,1.63829,1.40093,0.00489286,0.00489286,0.00489286
96,144.394,1.36226,1.48129,1.34502,0.46139,0.55474,0.57507,0.35771,1.47308,1.85541,1.4763,0.00489059,0.00489059,0.00489059
97,145.787,1.32795,1.5438,1.42406,0.46139,0.55474,0.57507,0.35771,1.47308,1.85541,1.4763,0.00488829,0.00488829,0.00488829
98,147.34,1.29799,1.49122,1.30392,0.56883,0.53629,0.57407,0.31913,1.59296,2.08843,1.59154,0.00488597,0.00488597,0.00488597
99,148.816,1.43964,1.51723,1.33788,0.56883,0.53629,0.57407,0.31913,1.59296,2.08843,1.59154,0.00488362,0.00488362,0.00488362
100,150.216,1.4357,1.50667,1.30874,0.51343,0.50558,0.59189,0.33713,1.56712,2.14064,1.62019,0.00488126,0.00488126,0.00488126
101,151.681,1.39434,1.6196,1.34914,0.51343,0.50558,0.59189,0.33713,1.56712,2.14064,1.62019,0.00487886,0.00487886,0.00487886
102,153.139,1.35145,1.44786,1.29019,0.47887,0.53605,0.58221,0.33361,1.59205,2.10815,1.65195,0.00487645,0.00487645,0.00487645
103,154.555,1.33401,1.47515,1.2915,0.47887,0.53605,0.58221,0.33361,1.59205,2.10815,1.65195,0.00487401,0.00487401,0.00487401
104,155.972,1.36439,1.46364,1.31005,0.57175,0.56873,0.63764,0.39945,1.38714,1.76953,1.48566,0.00487155,0.00487155,0.00487155
105,157.383,1.32975,1.49693,1.3512,0.57175,0.56873,0.63764,0.39945,1.38714,1.76953,1.48566,0.00486907,0.00486907,0.00486907
106,158.946,1.32328,1.45374,1.32564,0.49574,0.61737,0.58854,0.34822,1.59291,1.89206,1.53522,0.00486656,0.00486656,0.00486656
107,160.348,1.33763,1.40913,1.27635,0.49574,0.61737,0.58854,0.34822,1.59291,1.89206,1.53522,0.00486403,0.00486403,0.00486403
108,161.767,1.36852,1.51698,1.29668,0.5236,0.61328,0.62637,0.40159,1.38838,1.84834,1.42086,0.00486148,0.00486148,0.00486148
109,163.148,1.30452,1.37832,1.32485,0.5236,0.61328,0.62637,0.40159,1.38838,1.84834,1.42086,0.0048589,0.0048589,0.0048589
110,164.52,1.35969,1.52316,1.27003,0.5156,0.67442,0.661,0.46534,1.2266,1.81794,1.34529,0.0048563,0.0048563,0.0048563
111,166.084,1.33032,1.53145,1.30603,0.5156,0.67442,0.661,0.46534,1.2266,1.81794,1.34529,0.00485368,0.00485368,0.00485368
112,167.762,1.35108,1.4574,1.35911,0.54314,0.62547,0.67868,0.47333,1.21831,1.77033,1.317,0.00485103,0.00485103,0.00485103
113,169.483,1.3037,1.43904,1.32708,0.54314,0.62547,0.67868,0.47333,1.21831,1.77033,1.317,0.00484837,0.00484837,0.00484837
114,171.139,1.28955,1.54308,1.29967,0.56915,0.63281,0.67722,0.44009,1.26272,1.90774,1.32448,0.00484568,0.00484568,0.00484568
115,172.548,1.20131,1.35709,1.2196,0.56915,0.63281,0.67722,0.44009,1.26272,1.90774,1.32448,0.00484296,0.00484296,0.00484296
116,173.991,1.29127,1.56494,1.41884,0.59346,0.63605,0.61765,0.35876,1.48876,2.08559,1.42552,0.00484022,0.00484022,0.00484022
117,175.399,1.28683,1.44759,1.30857,0.59346,0.63605,0.61765,0.35876,1.48876,2.08559,1.42552,0.00483746,0.00483746,0.00483746
118,176.805,1.21188,1.38878,1.21749,0.56001,0.63233,0.60319,0.37513,1.29379,2.12274,1.37865,0.00483468,0.00483468,0.00483468
119,178.164,1.30735,1.56784,1.3411,0.56001,0.63233,0.60319,0.37513,1.29379,2.12274,1.37865,0.00483188,0.00483188,0.00483188
120,179.762,1.20581,1.39373,1.27054,0.4809,0.62874,0.62882,0.3957,1.30292,1.94654,1.40884,0.00482905,0.00482905,0.00482905
121,181.21,1.21802,1.35719,1.25762,0.4809,0.62874,0.62882,0.3957,1.30292,1.94654,1.40884,0.0048262,0.0048262,0.0048262
122,182.631,1.23165,1.38541,1.29426,0.52446,0.66982,0.6667,0.42796,1.27025,1.67757,1.39538,0.00482332,0.00482332,0.00482332
123,184.06,1.33445,1.42817,1.21004,0.52446,0.66982,0.6667,0.42796,1.27025,1.67757,1.39538,0.00482043,0.00482043,0.00482043
124,185.551,1.2004,1.32966,1.24746,0.45402,0.66079,0.68381,0.45052,1.2428,1.63237,1.35691,0.00481751,0.00481751,0.00481751
125,186.933,1.18389,1.31664,1.2324,0.45402,0.66079,0.68381,0.45052,1.2428,1.63237,1.35691,0.00481457,0.00481457,0.00481457
126,188.299,1.19079,1.30045,1.23846,0.37976,0.68243,0.64057,0.4254,1.29552,1.58754,1.3713,0.0048116,0.0048116,0.0048116
127,189.709,1.25951,1.3012,1.23589,0.37976,0.68243,0.64057,0.4254,1.29552,1.58754,1.3713,0.00480862,0.00480862,0.00480862
128,191.301,1.12731,1.27692,1.17982,0.44628,0.74264,0.67638,0.45444,1.30747,1.47918,1.37121,0.00480561,0.00480561,0.00480561
129,192.693,1.23267,1.34086,1.25214,0.44628,0.74264,0.67638,0.45444,1.30747,1.47918,1.37121,0.00480257,0.00480257,0.00480257
130,194.118,1.14825,1.31259,1.1941,0.64123,0.66762,0.70531,0.46232,1.27102,1.50857,1.33645,0.00479952,0.00479952,0.00479952
131,195.501,1.27938,1.43428,1.26236,0.64123,0.66762,0.70531,0.46232,1.27102,1.50857,1.33645,0.00479644,0.00479644,0.00479644
132,196.932,1.20439,1.3216,1.21678,0.64617,0.65567,0.72344,0.46408,1.29608,1.48496,1.34165,0.00479334,0.00479334,0.00479334
133,198.254,1.2543,1.43086,1.31998,0.64617,0.65567,0.72344,0.46408,1.29608,1.48496,1.34165,0.00479022,0.00479022,0.00479022
134,199.602,1.33633,1.50073,1.34113,0.67024,0.67589,0.74745,0.50819,1.19454,1.44363,1.30111,0.00478708,0.00478708,0.00478708
135,201.308,1.28329,1.38532,1.31605,0.67024,0.67589,0.74745,0.50819,1.19454,1.44363,1.30111,0.00478391,0.00478391,0.00478391
136,202.899,1.22898,1.37203,1.26497,0.63633,0.70983,0.76282,0.529,1.14282,1.42151,1.28326,0.00478072,0.00478072,0.00478072
137,204.473,1.07564,1.1915,1.21278,0.63633,0.70983,0.76282,0.529,1.14282,1.42151,1.28326,0.00477751,0.00477751,0.00477751
138,206.036,1.10799,1.28449,1.24758,0.53442,0.71886,0.71684,0.50452,1.08719,1.57249,1.26109,0.00477428,0.00477428,0.00477428
139,207.441,1.12185,1.3086,1.20084,0.53442,0.71886,0.71684,0.50452,1.08719,1.57249,1.26109,0.00477102,0.00477102,0.00477102
140,208.897,1.1502,1.27191,1.28665,0.69517,0.56829,0.70018,0.47345,1.16182,1.67942,1.29493,0.00476775,0.00476775,0.00476775
141,210.305,1.01112,1.13455,1.16327,0.69517,0.56829,0.70018,0.47345,1.16182,1.67942,1.29493,0.00476445,0.00476445,0.00476445
142,211.888,1.17252,1.34318,1.3377,0.56214,0.68297,0.70211,0.47776,1.17681,1.64444,1.30891,0.00476113,0.00476113,0.00476113
143,213.318,1.21804,1.39345,1.37046,0.56214,0.68297,0.70211,0.47776,1.17681,1.64444,1.30891,0.00475778,0.00475778,0.00475778
144,214.751,1.15402,1.2476,1.19576,0.5458,0.6127,0.6724,0.44008,1.19873,1.76311,1.3138,0.00475442,0.00475442,0.00475442
145,216.154,1.19506,1.26796,1.2057,0.5458,0.6127,0.6724,0.44008,1.19873,1.76311,1.3138,0.00475103,0.00475103,0.00475103
146,217.656,1.14531,1.21644,1.19555,0.46142,0.6955,0.62122,0.44404,1.10299,2.21794,1.25083,0.00474762,0.00474762,0.00474762
147,219.17,1.19157,1.32929,1.15801,0.46142,0.6955,0.62122,0.44404,1.10299,2.21794,1.25083,0.00474419,0.00474419,0.00474419
148,220.621,1.22257,1.29527,1.33206,0.55864,0.72235,0.67895,0.48506,1.05687,1.4395,1.23046,0.00474073,0.00474073,0.00474073
149,222.116,1.00379,1.13649,1.13847,0.55864,0.72235,0.67895,0.48506,1.05687,1.4395,1.23046,0.00473726,0.00473726,0.00473726
150,223.658,1.10019,1.21347,1.1761,0.77573,0.66359,0.74377,0.54762,0.9662,1.39924,1.1724,0.00473376,0.00473376,0.00473376
151,225.202,1.11127,1.17075,1.20095,0.77573,0.66359,0.74377,0.54762,0.9662,1.39924,1.1724,0.00473024,0.00473024,0.00473024
152,226.97,1.06445,1.16116,1.13306,0.73513,0.66592,0.73023,0.53516,0.97444,1.54262,1.17612,0.0047267,0.0047267,0.0047267
153,228.435,1.14133,1.26322,1.2141,0.73513,0.66592,0.73023,0.53516,0.97444,1.54262,1.17612,0.00472314,0.00472314,0.00472314
154,229.93,1.09041,1.15006,1.17093,0.787,0.62,0.73817,0.54825,0.98327,1.47945,1.1805,0.00471955,0.00471955,0.00471955
155,231.546,1.14808,1.20509,1.25239,0.787,0.62,0.73817,0.54825,0.98327,1.47945,1.1805,0.00471595,0.00471595,0.00471595
156,233.398,1.08856,1.11865,1.12145,0.72099,0.67138,0.75228,0.54816,1.03372,1.46239,1.20238,0.00471232,0.00471232,0.00471232
157,235.279,1.0747,1.13518,1.18958,0.72099,0.67138,0.75228,0.54816,1.03372,1.46239,1.20238,0.00470867,0.00470867,0.00470867
158,237.082,1.02368,1.12086,1.15195,0.74346,0.67701,0.77654,0.56251,1.02727,1.53968,1.18991,0.004705,0.004705,0.004705
159,239.07,1.02796,1.05085,1.11968,0.74346,0.67701,0.77654,0.56251,1.02727,1.53968,1.18991,0.00470131,0.00470131,0.00470131
160,240.677,1.09047,1.21534,1.21305,0.75764,0.62165,0.77115,0.555,1.04165,1.59052,1.18845,0.00469759,0.00469759,0.00469759
161,242.145,1.09157,1.14544,1.15515,0.75764,0.62165,0.77115,0.555,1.04165,1.59052,1.18845,0.00469386,0.00469386,0.00469386
162,243.593,1.23162,1.33157,1.2628,0.81331,0.53581,0.74425,0.55206,0.94665,1.58225,1.16713,0.0046901,0.0046901,0.0046901
