epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.02478,4.18402,4.7036,4.0928,0,0,0,0,3.65319,4.49912,3.37748,0.0943,0.0003,0.0003
2,7.90419,3.45437,3.99621,3.04086,0,0,0,0,3.38114,4.23414,3.0274,0.08765,0.000649998,0.000649998
3,11.7392,3.05261,3.42578,2.59036,0,0,0,0,3.37664,4.17561,2.89607,0.081,0.00099999,0.00099999
4,15.6963,2.76737,3.06902,2.33436,0,0,0,0,3.36963,4.19336,2.84438,0.07435,0.00134997,0.00134997
5,19.5626,2.54022,2.92499,2.22141,0,0,0,0,3.37541,4.26207,2.82748,0.0676999,0.00169993,0.00169993
6,23.4751,2.6212,2.71658,2.12376,0,0,0,0,3.3934,4.30724,2.85668,0.0610499,0.00204987,0.00204987
7,27.3483,2.39655,2.62157,1.98714,0,0,0,0,3.37396,4.3915,2.81115,0.0543998,0.00239979,0.00239979
8,31.1941,2.24055,2.42275,1.92738,0,0,0,0,3.67185,4.41942,3.16597,0.0477497,0.00274967,0.00274967
9,35.0553,2.19846,2.3088,1.9226,0,0,0,0,3.80105,4.50354,3.27009,0.0410995,0.00309952,0.00309952
10,39.0672,2.11249,2.22312,1.82372,0,0,0,0,3.97129,4.59448,3.48253,0.0344493,0.00344932,0.00344932
11,42.4747,1.98674,2.15369,1.80535,0,0,0,0,4.19769,4.50571,4.05812,0.0277991,0.00379907,0.00379907
12,44.9321,1.95617,2.14373,1.77307,0,0,0,0,3.66266,4.81501,3.33078,0.0211488,0.00414877,0.00414877
13,47.429,1.89907,1.96802,1.67687,0,0,0,0,3.9709,4.77823,3.79908,0.0144984,0.00449842,0.00449842
14,49.9209,1.84423,1.94141,1.6448,0.02,0.00278,0.01228,0.00246,2.81126,4.68687,2.71846,0.007848,0.004848,0.004848
15,52.5362,1.7635,1.88511,1.62,0.00679,0.01712,0.00756,0.00123,3.3587,4.37306,3.07627,0.00499761,0.00499761,0.00499761
16,55.0448,1.61057,1.81668,1.52171,0.10954,0.2778,0.11571,0.04831,2.318,4.09846,2.33446,0.00499725,0.00499725,0.00499725
17,57.8198,1.68488,1.74273,1.49431,0.07178,0.38474,0.11994,0.044,2.58276,3.98202,2.33843,0.00499687,0.00499687,0.00499687
18,60.4114,1.61967,1.74133,1.54951,0.3523,0.14137,0.16483,0.04339,2.93158,3.35597,2.41661,0.00499647,0.00499647,0.00499647
19,63.0718,1.75392,1.86467,1.53001,0.58604,0.29774,0.43858,0.16654,2.22952,2.62189,2.11277,0.00499604,0.00499604,0.00499604
20,65.7751,1.67739,1.71571,1.57202,0.61065,0.4793,0.54546,0.25805,1.82747,2.23329,1.79669,0.00499559,0.00499559,0.00499559
21,68.5367,1.68455,1.63467,1.57048,0.57278,0.56824,0.60222,0.31287,1.7515,1.88663,1.66857,0.00499512,0.00499512,0.00499512
22,71.2234,1.59969,1.6065,1.45732,0.65867,0.55973,0.67616,0.40769,1.50288,1.73253,1.496,0.00499462,0.00499462,0.00499462
23,74.0203,1.4969,1.5577,1.47803,0.52019,0.52312,0.57816,0.30932,1.68215,2.04417,1.57872,0.00499409,0.00499409,0.00499409
24,76.645,1.43185,1.5118,1.38783,0.55948,0.46451,0.57878,0.36967,1.34923,2.12702,1.4492,0.00499354,0.00499354,0.00499354
25,79.185,1.42111,1.5354,1.38438,0.66491,0.47633,0.63774,0.40398,1.40741,2.13893,1.46118,0.00499297,0.00499297,0.00499297
26,81.7703,1.3872,1.4812,1.29861,0.61383,0.42462,0.48267,0.21766,2.28196,2.17109,2.00075,0.00499237,0.00499237,0.00499237
27,84.3811,1.37837,1.41464,1.36715,0.61198,0.6455,0.71777,0.43781,1.41489,1.55074,1.45296,0.00499175,0.00499175,0.00499175
28,87.0552,1.36747,1.43419,1.36731,0.65531,0.52326,0.60291,0.28929,1.80554,2.05476,1.63863,0.0049911,0.0049911,0.0049911
29,89.6346,1.39818,1.46989,1.35849,0.63016,0.57475,0.66349,0.3875,1.49688,1.73683,1.4844,0.00499043,0.00499043,0.00499043
30,92.2981,1.36117,1.39609,1.33362,0.68871,0.65977,0.76123,0.45262,1.4835,1.48145,1.49958,0.00498974,0.00498974,0.00498974
31,94.9692,1.2985,1.34061,1.32192,0.71489,0.64186,0.7529,0.51015,1.21977,1.50477,1.33935,0.00498902,0.00498902,0.00498902
32,97.6516,1.34616,1.34959,1.32028,0.73277,0.65186,0.77458,0.42915,1.60351,1.5035,1.52242,0.00498827,0.00498827,0.00498827
33,100.225,1.27083,1.30461,1.28097,0.72429,0.69476,0.79399,0.53086,1.28432,1.39289,1.36244,0.0049875,0.0049875,0.0049875
34,102.918,1.36107,1.34994,1.35041,0.72342,0.70803,0.80701,0.56953,1.09392,1.33264,1.25354,0.00498671,0.00498671,0.00498671
35,105.626,1.29926,1.32155,1.32176,0.72021,0.67078,0.79189,0.48247,1.39232,1.45842,1.43543,0.00498589,0.00498589,0.00498589
