epoch,c_loss,g_loss
0,-0.26632237434387207,-7.030599594116211
1,0.04994252324104309,-0.7529098391532898
2,0.027232863008975983,0.22268164157867432
3,0.08766483515501022,0.029372477903962135
4,0.03576711565256119,0.09246644377708435
5,-0.012296106666326523,0.1902609020471573
6,0.18246960639953613,-0.008378376252949238
7,-0.0869758278131485,0.8599307537078857
8,0.23851585388183594,-0.05442054942250252
9,-0.2400771975517273,-1.9654520750045776
10,0.022856980562210083,0.7099292874336243
11,-0.16625314950942993,-0.8324154019355774
12,-0.3142414391040802,-0.6549819111824036
13,0.1722700446844101,1.2823406457901
14,-1.6231416463851929,-2.2994110584259033
15,-0.7088112831115723,-3.7958319187164307
16,-1.568350911140442,-1.813433289527893
17,-2.030825138092041,-1.099122405052185
18,-0.903144359588623,-3.655412435531616
19,0.5788345336914062,-6.7949042320251465
20,1.6971254348754883,-0.9071334004402161
21,-2.798053503036499,-8.74905014038086
22,-2.268465042114258,-1.6543060541152954
23,-0.2829904556274414,-5.2363667488098145
24,1.181025505065918,-9.455405235290527
25,3.3771119117736816,-0.008043606765568256
26,0.26288795471191406,2.0607779026031494
27,-2.374143123626709,-8.09420394897461
28,-4.5648651123046875,-12.809783935546875
29,-1.4969701766967773,-14.950037956237793
30,-0.5706892013549805,-11.630532264709473
31,2.5194473266601562,-3.6947860717773438
32,-4.213654518127441,-23.54250144958496
33,-7.072089195251465,-1.4459267854690552
34,-0.4538764953613281,-21.385297775268555
35,-8.3185396194458,-25.432138442993164
36,0.5918006896972656,-34.75086212158203
37,6.8831024169921875,-31.5581111907959
38,-2.3662681579589844,-14.331222534179688
39,2.5117740631103516,-20.016220092773438
40,-3.8914384841918945,-17.465723037719727
41,-10.395193099975586,-21.09919548034668
42,2.2646632194519043,-9.35410213470459
43,0.6488094329833984,-41.32146072387695
44,-1.57861328125,-28.0653018951416
45,-10.637170791625977,-39.107906341552734
46,0.42540740966796875,-51.7111701965332
47,10.06173324584961,-92.55297088623047
48,-4.675605773925781,-49.35910415649414
49,-2.5163722038269043,14.192550659179688
50,-12.709075927734375,-93.6375961303711
51,-6.078615188598633,6.33104133605957
52,-3.4027252197265625,-33.35993957519531
53,3.3332290649414062,-87.73041534423828
54,-10.402942657470703,-102.98413848876953
55,-1.8950042724609375,-84.24708557128906
56,-10.394081115722656,-27.965734481811523
57,-14.138648986816406,-29.646215438842773
58,-17.88664436340332,-38.869937896728516
59,-0.9342126846313477,-39.9835205078125
60,-14.018299102783203,-132.8025665283203
61,12.007022857666016,-100.5696029663086
62,-43.30768585205078,-32.15605545043945
63,-15.230342864990234,-70.73006439208984
64,2.9258956909179688,-183.7758026123047
65,-18.781280517578125,-120.2945556640625
66,-4.5461883544921875,-95.2741928100586
67,-35.713619232177734,-26.242280960083008
68,-12.65921401977539,-42.46719741821289
69,11.009933471679688,-93.8656005859375
70,-5.826507568359375,-284.9151916503906
71,-2.5009307861328125,-163.49876403808594
72,-14.127761840820312,-89.6384506225586
73,-23.482254028320312,-158.0205535888672
74,4.9484710693359375,-103.79373931884766
75,-31.838768005371094,-52.09296798706055
76,-21.966934204101562,-109.74108123779297
77,12.52239990234375,-155.2874298095703
78,-23.04857635498047,-158.80906677246094
79,-10.890094757080078,-80.19534301757812
80,17.558502197265625,-180.35752868652344
81,2.47369384765625,-83.47643280029297
82,3.2468414306640625,-291.6358642578125
83,-0.559051513671875,-173.0145721435547
84,-13.278564453125,-210.483154296875
85,-16.702865600585938,-120.01849365234375
86,-11.6859130859375,-183.7701873779297
87,-26.42841339111328,-134.8188018798828
88,-21.07635498046875,-337.8128967285156
89,-11.272819519042969,-144.56494140625
90,-18.870338439941406,-175.6445770263672
91,-11.886978149414062,-286.7552795410156
92,0.0668487548828125,-215.3391571044922
93,-4.299324035644531,-204.7615203857422
94,-2.23583984375,-336.0047912597656
95,-26.793609619140625,-195.26051330566406
96,-9.879669189453125,-399.27392578125
97,-23.978240966796875,-282.29901123046875
98,-1.9319992065429688,-126.95697021484375
99,-65.09076690673828,-119.4625015258789
100,1.282440185546875,-203.556884765625
101,-20.401107788085938,58.14768600463867
102,22.0418701171875,-396.0701599121094
103,14.16119384765625,-158.5153045654297
104,-17.354736328125,-266.0174865722656
105,-37.60772705078125,-263.8503112792969
106,24.023338317871094,-131.55308532714844
107,35.849082946777344,-239.015869140625
108,-74.97584533691406,-364.1839904785156
109,-17.299560546875,-265.5429992675781
110,-68.98216247558594,-257.8149108886719
111,-9.941558837890625,-409.7317810058594
112,20.37554931640625,-275.137451171875
113,2.402099609375,-258.38916015625
114,-15.958663940429688,-318.7013854980469
115,-39.71552276611328,-183.33160400390625
116,14.176193237304688,-241.4215545654297
117,8.482772827148438,-206.326171875
118,23.667648315429688,-345.3670349121094
119,-78.74522399902344,-265.2633972167969
120,-17.359237670898438,-491.3853454589844
121,-0.5477142333984375,-267.3238830566406
122,-23.61768341064453,-63.39183044433594
123,-98.27125549316406,-357.5511779785156
124,-60.89801025390625,-246.2085418701172
125,-44.24931335449219,-386.0022277832031
126,-12.192626953125,-335.7030334472656
127,31.77606201171875,-362.8405456542969
128,-16.892044067382812,-464.2523498535156
129,-19.562515258789062,-199.520263671875
130,10.0687255859375,-249.7504425048828
131,-4.93768310546875,-519.0824584960938
132,2.8328857421875,-314.792236328125
133,33.27403259277344,-247.303955078125
134,-4.7960052490234375,-347.9964904785156
135,-0.7774505615234375,-274.50018310546875
136,-0.332122802734375,-289.6483154296875
137,-53.73199462890625,-393.5780334472656
138,-41.72920227050781,-476.7044372558594
139,-52.46186828613281,-261.3232116699219
140,-39.06170654296875,-333.4638977050781
141,-11.49847412109375,-218.6916961669922
142,14.444900512695312,-190.95799255371094
143,-45.17198181152344,-373.4678649902344
144,-68.38577270507812,-288.1491394042969
145,-7.3499755859375,-411.163330078125
146,-26.463134765625,-341.6571960449219
147,-153.12322998046875,-264.1777038574219
