epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5228.8,0.24985,0.46799,0.84737,0.21287,0.238,0.15965,0.02495,3.91065,2.27351,6.07738,0.0049795,0.0049795,0.0049795
43,5353.62,0.24788,0.46361,0.84682,0.25096,0.30239,0.19246,0.03258,3.81162,2.86916,6.17837,0.00497849,0.00497849,0.00497849
44,5478.58,0.24514,0.46063,0.84671,0.18987,0.23995,0.1438,0.0237,3.85448,2.44344,6.1875,0.00497745,0.00497745,0.00497745
45,5603.6,0.24233,0.45726,0.84626,0.15642,0.16672,0.07629,0.01485,4.00676,2.86324,6.15234,0.00497639,0.00497639,0.00497639
46,5728.65,0.24404,0.44917,0.84535,0.23975,0.22779,0.1496,0.0261,3.83073,2.41569,6.21818,0.00497531,0.00497531,0.00497531
47,5853.71,0.24694,0.46412,0.84777,0.14687,0.13813,0.07244,0.01421,4.22537,2.91358,5.35814,0.0049742,0.0049742,0.0049742
48,5978.61,0.2395,0.44834,0.84471,0.17917,0.19007,0.09045,0.01611,3.97927,2.67662,6.26352,0.00497307,0.00497307,0.00497307
49,6103.7,0.24072,0.45082,0.84477,0.13775,0.143,0.05789,0.01072,4.19806,3.79824,6.46692,0.00497191,0.00497191,0.00497191
50,6229.33,0.24393,0.45439,0.84505,0.15401,0.17892,0.08021,0.01665,3.99675,2.39512,6.08017,0.00497073,0.00497073,0.00497073
51,6354.5,0.24044,0.45207,0.84475,0.14425,0.17148,0.08288,0.01408,4.11213,2.51836,6.74193,0.00496953,0.00496953,0.00496953
52,6479.41,0.23659,0.4453,0.84503,0.14647,0.14097,0.07284,0.01602,4.17931,2.8847,5.66557,0.0049683,0.0049683,0.0049683
53,6604.66,0.2413,0.45413,0.84339,0.1321,0.14529,0.06605,0.01177,4.33944,2.81316,6.21846,0.00496705,0.00496705,0.00496705
54,6729.7,0.2374,0.44784,0.8439,0.07231,0.0992,0.03057,0.00616,4.32493,2.91392,6.6915,0.00496577,0.00496577,0.00496577
55,6854.7,0.24046,0.45266,0.84518,0.12884,0.11772,0.0598,0.01054,4.14043,2.64852,6.74206,0.00496447,0.00496447,0.00496447
56,6979.77,0.2386,0.4485,0.8442,0.10837,0.11363,0.04892,0.01044,4.28854,2.59696,6.13823,0.00496315,0.00496315,0.00496315
57,7104.94,0.23632,0.44284,0.84361,0.16538,0.19419,0.07439,0.0105,4.02979,2.7021,6.82059,0.0049618,0.0049618,0.0049618
58,7229.94,0.23795,0.44807,0.84453,0.08353,0.1026,0.03564,0.00639,4.3951,2.57747,7.12076,0.00496042,0.00496042,0.00496042
59,7355.02,0.23815,0.45169,0.84494,0.09194,0.08657,0.03996,0.00759,4.41559,2.78256,6.86068,0.00495903,0.00495903,0.00495903
60,7480.09,0.23714,0.45177,0.84494,0.07884,0.09872,0.0419,0.00777,4.30565,2.70562,6.86047,0.00495761,0.00495761,0.00495761
61,7605.24,0.23388,0.43993,0.84238,0.08518,0.09298,0.04417,0.00978,4.34887,2.83725,6.89723,0.00495616,0.00495616,0.00495616
62,7730.23,0.23416,0.44855,0.84404,0.11771,0.13076,0.06562,0.01247,4.22684,2.60404,6.61664,0.00495469,0.00495469,0.00495469
63,7855.32,0.23547,0.44455,0.84451,0.09649,0.10865,0.05048,0.00811,4.41561,2.9377,6.72026,0.0049532,0.0049532,0.0049532
64,7980.47,0.23022,0.4359,0.8414,0.11544,0.13412,0.06127,0.0101,4.26235,2.77128,6.99942,0.00495168,0.00495168,0.00495168
65,8105.57,0.23456,0.44691,0.84301,0.11584,0.1347,0.06602,0.00943,4.287,2.81142,7.00943,0.00495014,0.00495014,0.00495014
66,8230.45,0.23198,0.43474,0.84152,0.06751,0.06548,0.02613,0.00487,4.46881,3.01794,6.71511,0.00494858,0.00494858,0.00494858
67,8355.67,0.23071,0.43905,0.84141,0.10689,0.09495,0.04355,0.00798,4.28293,2.78674,6.90301,0.00494699,0.00494699,0.00494699
68,8480.6,0.22917,0.43265,0.84037,0.10436,0.09881,0.04465,0.00889,4.25721,2.71946,6.85654,0.00494538,0.00494538,0.00494538
